City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,leava,-14.3,-178.17,79.83,80,82,20.18,WF,1697607682
279,vilyuchinsk,52.93,158.4,44.92,94,100,5.64,RU,1697607682
280,midvagur,62.05,-7.19,45.43,93,100,19.57,FO,1697607683
281,rundu,-17.93,19.77,74.3,10,65,5.68,NA,1697607683
282,northport,33.23,-87.58,53.13,87,0,3.44,US,1697607639
283,ouadda,8.08,22.4,72.9,80,100,2.19,CF,1697607683
284,shache,38.42,77.24,64.69,20,81,6.78,CN,1697607683
285,st. paul,44.94,-93.09,56.77,71,0,4.61,US,1697607626
286,alta,69.97,23.27,25.86,85,75,3.44,NO,1697607683
287,santa vitoria do palmar,-33.52,-53.37,47.39,83,1,7.94,BR,1697607684
288,shaowu,27.34,117.48,81.19,51,0,2.71,CN,1697607684
289,curaca,-8.99,-39.91,70.3,71,70,13.62,BR,1697607684
290,novokruchininskiy,51.78,113.77,44.33,32,74,11.27,RU,1697607684
291,kruisfontein,-34.0,24.73,66.24,68,0,15.48,ZA,1697607684
292,mesquite,32.77,-96.6,62.58,64,0,4.0,US,1697607264
293,sligo,54.27,-8.47,51.69,93,100,17.05,IE,1697607684
294,shar,49.59,81.05,56.73,27,0,10.4,KZ,1697607685
295,santa cruz,-17.8,-63.17,78.26,69,75,3.44,BO,1697607505
296,mulayjah,27.27,48.42,86.25,39,68,7.7,SA,1697607685
297,nema,57.51,50.5,36.5,95,100,15.97,RU,1697607685
298,manta,-0.95,-80.73,76.78,83,75,6.91,EC,1697607685
299,tanga,-5.07,39.1,82.99,67,100,1.43,TZ,1697607685
300,turbat,26.0,63.04,84.09,58,30,4.5,PK,1697607685
301,sakakah,29.97,40.21,72.97,26,0,14.7,SA,1697607686
302,ola,59.58,151.28,28.42,37,0,8.08,RU,1697607686
303,zhangatas,43.57,69.75,66.09,22,35,16.42,KZ,1697607686
304,mar del plata,-38.0,-57.56,46.94,78,0,5.75,AR,1697607524
305,catriel,-37.88,-67.8,62.15,22,0,23.98,AR,1697607686
306,orumiyeh,37.55,45.08,53.15,66,20,2.3,IR,1697607686
307,page,36.91,-111.46,69.58,26,0,3.44,US,1697607686
308,celestun,20.87,-90.4,73.67,61,80,9.4,MX,1697607687
309,yambio,4.57,28.4,75.02,83,48,4.29,SS,1697607687
310,gebeit,21.07,36.32,80.83,28,51,7.96,SD,1697607687
311,zouerate,22.72,-12.45,79.5,27,27,5.93,MR,1697607632
312,neiafu,-18.65,-173.98,75.88,73,75,18.41,TO,1697607687
313,praia da vitoria,38.73,-27.07,71.85,88,40,13.87,PT,1697607688
314,busayra,30.74,35.61,63.39,55,0,2.77,JO,1697607688
315,cidreira,-30.18,-50.21,56.23,87,100,2.89,BR,1697607543
316,guarapari,-20.67,-40.5,73.51,89,90,3.44,BR,1697607392
317,toliara,-23.35,43.67,75.69,77,100,14.09,MG,1697607688
318,skelleftea,64.75,20.95,33.01,100,75,4.61,SE,1697607688
319,kourou,5.16,-52.65,75.25,89,85,6.17,GF,1697607688
320,sisimiut,66.94,-53.67,18.23,79,19,9.93,GL,1697607689
321,rio de janeiro,-22.9,-43.21,77.0,86,0,4.61,BR,1697607427
322,sandi,27.3,79.95,83.1,39,0,7.87,IN,1697607689
323,tieli,46.95,128.05,53.33,34,100,12.24,CN,1697607689
324,lodja,-3.48,23.43,73.85,94,99,1.74,CD,1697607689
325,moyynkum,44.29,72.95,65.79,29,24,6.87,KZ,1697607689
326,coron,12.0,120.2,86.23,65,37,7.74,PH,1697607689
327,naze,28.37,129.48,74.32,56,0,6.62,JP,1697607689
328,dwarka,22.24,68.97,84.78,62,3,6.89,IN,1697607690
329,khandyga,62.67,135.6,27.16,79,100,1.83,RU,1697607690
330,oranjemund,-28.55,16.43,66.2,70,0,7.67,NA,1697607690
331,touros,-5.2,-35.46,78.71,78,54,20.15,BR,1697607534
332,rockland,41.17,-74.05,53.64,93,21,2.33,US,1697607423
333,bonthe,7.53,-12.51,75.24,93,95,5.06,SL,1697607690
334,zayed city,24.38,54.59,87.01,60,0,4.61,AE,1697607690
335,brigantine,39.41,-74.36,55.02,92,100,0.0,US,1697607419
336,san pedro de ycuamandiyu,-24.09,-57.08,79.34,68,35,5.53,PY,1697607690
337,chajul,15.49,-91.03,59.04,99,100,1.41,GT,1697607691
338,abra pampa,-22.72,-65.7,50.13,76,82,10.83,AR,1697607691
339,harstad,68.8,16.53,32.81,94,72,4.0,NO,1697607691
340,abadiania,-16.2,-48.71,74.32,45,17,2.35,BR,1697607691
341,sibu,2.3,111.82,86.31,74,40,7.0,MY,1697607691
342,laguna,38.42,-121.42,71.08,69,0,4.61,US,1697607429
343,baishan,41.94,126.43,49.06,97,100,6.46,CN,1697607691
344,igis,46.95,9.57,53.6,61,100,8.34,CH,1697607692
345,aripuana,-9.17,-60.63,76.14,70,12,1.39,BR,1697607692
346,zhezqazghan,47.78,67.77,45.18,57,0,6.71,KZ,1697607692
347,northam,51.03,-4.22,60.66,89,100,24.14,GB,1697607692
348,malango,-2.96,119.9,80.33,69,71,4.16,ID,1697607692
349,prado,-17.34,-39.22,71.2,87,26,7.7,BR,1697607555
350,stokesdale,36.24,-79.98,52.3,92,20,2.53,US,1697607693
351,east ballina,-28.87,153.58,65.8,56,93,16.64,AU,1697607693
352,grand falls-windsor,48.93,-55.66,35.51,93,57,4.03,CA,1697607693
353,atherton,53.52,-2.49,52.9,81,100,8.01,GB,1697607693
354,tirano,46.22,10.17,52.61,90,100,1.72,IT,1697607693
355,andergrove,-21.08,149.18,76.64,68,89,16.28,AU,1697607693
356,dedovichi,57.55,29.95,36.75,97,100,6.93,RU,1697607694
357,breckenridge,32.76,-98.9,64.6,39,0,10.36,US,1697607467
358,karratha,-20.74,116.85,95.86,17,0,14.36,AU,1697607694
359,talnakh,69.49,88.4,33.21,95,100,20.6,RU,1697607694
360,quellon,-43.12,-73.62,46.69,94,91,6.02,CL,1697607694
361,tulsipur,28.13,82.3,78.49,44,38,4.41,NP,1697607694
362,tambacounda,13.75,-13.76,79.59,75,75,3.89,SN,1697607695
363,fort bragg,35.14,-79.01,58.91,85,100,0.0,US,1697607695
364,muli,2.92,73.57,81.82,76,59,11.45,MV,1697607695
365,papao,-17.75,-149.55,80.28,82,69,15.97,PF,1697607695
366,egilsstadir,65.27,-14.39,46.31,76,75,8.05,IS,1697607695
367,ranau,5.95,116.66,85.01,62,43,3.04,MY,1697607695
368,chitipa,-9.7,33.27,72.43,67,100,4.52,MW,1697607695
369,kingston,18.0,-76.79,83.35,81,20,3.44,JM,1697607450
370,boa vista,2.82,-60.67,78.78,83,20,4.61,BR,1697607695
371,xingcheng,40.62,120.72,61.11,56,85,6.73,CN,1697607696
372,al kharijah,25.45,30.55,74.26,39,0,8.63,EG,1697607696
373,usakos,-22.0,15.6,74.89,25,0,10.38,NA,1697607696
